id,nama
45,Binjai
475,Gunungsitoli
24,Kab. Asahan
25,Kab. Batu Bara
26,Kab. Dairi
27,Kab. Deli Serdang
28,Kab. Humbang Hasundutan
29,Kab. Karo
30,Kab. Labuhanbatu
517,Kab. Labuhanbatu Selatan
516,Kab. Labuhanbatu Utara
31,Kab. Langkat
32,Kab. Mandailing Natal
33,Kab. Nias
519,Kab. Nias Barat
34,Kab. Nias Selatan
518,Kab. Nias Utara
35,Kab. Padang Lawas
36,Kab. Padang Lawas Utara
37,Kab. Pakpak Bharat
38,Kab. Samosir
39,Kab. Serdang Bedagai
40,Kab. Simalungun
41,Kab. Tapanuli Selatan
42,Kab. Tapanuli Tengah
43,Kab. Tapanuli Utara
44,Kab. Toba Samosir
46,Medan
47,Padangsidimpuan
48,Pematang Siantar
49,Sibolga
50,Tanjung Balai
51,Tebing Tinggi
